"COUNTRY","COUNTRY_GRP","AGE_GRP_2","SEX","YEAR","VALUE"
ALB,,15YO,FEMALE,2014,29
ALB,,15YO,MALE,2014,51
ARM,,15YO,FEMALE,2014,26
ARM,,15YO,MALE,2014,47
AUT,,15YO,FEMALE,2014,28
AUT,,15YO,MALE,2014,47
BE-VLG,,15YO,FEMALE,2014,18
BE-VLG,,15YO,MALE,2014,42
BE-WAL,,15YO,FEMALE,2014,44
BE-WAL,,15YO,MALE,2014,55
BGR,,15YO,FEMALE,2014,37
BGR,,15YO,MALE,2014,65
CAN,,15YO,FEMALE,2014,44
CAN,,15YO,MALE,2014,59
CHE,,15YO,FEMALE,2014,23
CHE,,15YO,MALE,2014,39
CZE,,15YO,FEMALE,2014,21
CZE,,15YO,MALE,2014,64
DEU,,15YO,FEMALE,2014,41
DEU,,15YO,MALE,2014,58
DNK,,15YO,FEMALE,2014,25
DNK,,15YO,MALE,2014,63
ESP,,15YO,FEMALE,2014,36
ESP,,15YO,MALE,2014,43
EST,,15YO,FEMALE,2014,19
EST,,15YO,MALE,2014,63
FIN,,15YO,FEMALE,2014,8
FIN,,15YO,MALE,2014,51
FRA,,15YO,FEMALE,2014,27
FRA,,15YO,MALE,2014,48
GB-ENG,,15YO,FEMALE,2014,35
GB-ENG,,15YO,MALE,2014,55
GB-SCT,,15YO,FEMALE,2014,44
GB-SCT,,15YO,MALE,2014,64
GB-WLS,,15YO,FEMALE,2014,37
GB-WLS,,15YO,MALE,2014,63
GRC,,15YO,FEMALE,2014,25
GRC,,15YO,MALE,2014,52
HRV,,15YO,FEMALE,2014,17
HRV,,15YO,MALE,2014,46
HUN,,15YO,FEMALE,2014,30
HUN,,15YO,MALE,2014,58
IRL,,15YO,FEMALE,2014,29
IRL,,15YO,MALE,2014,32
ISL,,15YO,FEMALE,2014,24
ISL,,15YO,MALE,2014,56
ISR,,15YO,FEMALE,2014,42
ISR,,15YO,MALE,2014,58
ITA,,15YO,FEMALE,2014,36
ITA,,15YO,MALE,2014,46
LTU,,15YO,FEMALE,2014,34
LTU,,15YO,MALE,2014,60
LUX,,15YO,FEMALE,2014,36
LUX,,15YO,MALE,2014,53
LVA,,15YO,FEMALE,2014,24
LVA,,15YO,MALE,2014,58
MDA,,15YO,FEMALE,2014,28
MDA,,15YO,MALE,2014,54
MKD,,15YO,FEMALE,2014,25
MKD,,15YO,MALE,2014,46
MLT,,15YO,FEMALE,2014,53
MLT,,15YO,MALE,2014,62
NLD,,15YO,FEMALE,2014,46
NLD,,15YO,MALE,2014,66
NOR,,15YO,FEMALE,2014,32
NOR,,15YO,MALE,2014,67
POL,,15YO,FEMALE,2014,17
POL,,15YO,MALE,2014,50
PRT,,15YO,FEMALE,2014,21
PRT,,15YO,MALE,2014,45
ROU,,15YO,FEMALE,2014,34
ROU,,15YO,MALE,2014,62
RUS,,15YO,FEMALE,2014,32
RUS,,15YO,MALE,2014,55
SVK,,15YO,FEMALE,2014,31
SVK,,15YO,MALE,2014,62
SVN,,15YO,FEMALE,2014,14
SVN,,15YO,MALE,2014,42
SWE,,15YO,FEMALE,2014,29
SWE,,15YO,MALE,2014,65
UKR,,15YO,FEMALE,2014,31
UKR,,15YO,MALE,2014,57
