country,iso3,year,prevalence,lower_ci,upper_ci,risk_level,risk_color
Afghanistan,AFG,2022,7.8092046,4.129567,12.787648,Low Risk,#2E8B57
Albania,ALB,2022,5.8261286,3.8115025,8.3777122,Low Risk,#2E8B57
Algeria,DZA,2022,14.738941,8.4905677,22.527409,Low Risk,#2E8B57
Andorra,AND,2022,9.9219099,3.3056851,19.46879,Low Risk,#2E8B57
Angola,AGO,2022,3.8556013,1.0757077,8.6656265,Low Risk,#2E8B57
Antigua & Barbuda,ATG,2022,23.028758,13.238615,33.553809,Moderate Risk,#FFD700
Argentina,ARG,2022,18.799725,15.156382,22.646967,Low Risk,#2E8B57
Armenia,ARM,2022,6.8406656,3.8795244,10.795268,Low Risk,#2E8B57
Australia,AUS,2022,15.237479,12.041945,18.624547,Low Risk,#2E8B57
Austria,AUT,2022,10.69826,8.7267496,12.834166,Low Risk,#2E8B57
Azerbaijan,AZE,2022,7.0089161,2.8952947,13.193725,Low Risk,#2E8B57
Bahamas,BHS,2022,24.611734,17.841662,31.832987,Moderate Risk,#FFD700
Bahrain,BHR,2022,21.295694,15.346327,27.633074,Moderate Risk,#FFD700
Bangladesh,BGD,2022,1.8450761,1.1333647,2.7816245,Low Risk,#2E8B57
Barbados,BRB,2022,21.585242,13.174355,31.337607,Moderate Risk,#FFD700
Belarus,BLR,2022,6.0218051,2.5548654,11.019152,Low Risk,#2E8B57
Belgium,BEL,2022,6.5109901,4.3189172,9.1812506,Low Risk,#2E8B57
Belize,BLZ,2022,20.176184,11.416625,29.986992,Moderate Risk,#FFD700
Benin,BEN,2022,4.4064764,1.7118849,9.1572568,Low Risk,#2E8B57
Bhutan,BTN,2022,5.1889561,2.3691665,9.1284938,Low Risk,#2E8B57
Bolivia,BOL,2022,13.677868,8.225894,20.039171,Low Risk,#2E8B57
Bosnia & Herzegovina,BIH,2022,8.9731693,4.3838207,14.897145,Low Risk,#2E8B57
Botswana,BWA,2022,5.749426,2.1850133,11.387254,Low Risk,#2E8B57
Brazil,BRA,2022,11.944772,10.064014,13.925472,Low Risk,#2E8B57
Brunei,BRN,2022,21.575283,17.243427,26.165691,Moderate Risk,#FFD700
Bulgaria,BGR,2022,10.181739,7.802894,12.761357,Low Risk,#2E8B57
Burkina Faso,BFA,2022,1.0023135,0.46852082,1.9232666,Low Risk,#2E8B57
Burundi,BDI,2022,1.6666418,0.34207194,5.0024711,Low Risk,#2E8B57
Cambodia,KHM,2022,4.8893467,1.9505776,9.4167516,Low Risk,#2E8B57
Cameroon,CMR,2022,3.6193967,1.6560895,7.2623938,Low Risk,#2E8B57
Canada,CAN,2022,11.489964,8.6983711,14.572461,Low Risk,#2E8B57
Cape Verde,CPV,2022,3.5897847,1.3588056,7.1029611,Low Risk,#2E8B57
Central African Republic,CAF,2022,4.5711752,0.97409496,11.235329,Low Risk,#2E8B57
Chad,TCD,2022,2.6270906,0.64299204,7.2031461,Low Risk,#2E8B57
Chile,CHL,2022,23.338562,16.965927,29.981512,Moderate Risk,#FFD700
China,CHN,2022,9.9447973,7.806842,12.247701,Low Risk,#2E8B57
Colombia,COL,2022,9.6605681,6.9366999,12.726004,Low Risk,#2E8B57
Comoros,COM,2022,3.5081714,1.1475094,7.6627396,Low Risk,#2E8B57
Congo - Brazzaville,COG,2022,2.7601654,0.60096863,7.4972652,Low Risk,#2E8B57
Congo - Kinshasa,COD,2022,3.6903709,1.1780713,8.2123704,Low Risk,#2E8B57
Cook Islands,COK,2022,41.041777,33.054945,48.883283,High Risk,#DC143C
Costa Rica,CRI,2022,13.304578,8.576405,18.623061,Low Risk,#2E8B57
Croatia,HRV,2022,7.5883254,5.4623801,10.123402,Low Risk,#2E8B57
Cuba,CUB,2022,12.497349,9.213426,16.236526,Low Risk,#2E8B57
Cyprus,CYP,2022,12.599134,8.9387268,16.847111,Low Risk,#2E8B57
Czechia,CZE,2022,4.459776,3.0205777,6.216019,Low Risk,#2E8B57
